T,0,1,2,3
1000.0,0.9999999914195746,8.58042540340826e-09,0.0,0.0
1100.0,0.9999998310963395,1.689036605376311e-07,0.0,0.0
1200.0,0.9999979657680289,2.03423197093251e-06,0.0,0.0
1300.0,0.9999832174205344,1.678257946561522e-05,0.0,0.0
1400.0,0.9998971689377187,0.00010283106228125785,7.892230574897529e-28,0.0
1500.0,0.9995035148287379,0.0004964851712621834,3.4161325427493734e-25,0.0
1600.0,0.9980259125951532,0.0019740874048466786,6.965156137457901e-23,0.0
1700.0,0.9933193399108405,0.006680660089159585,7.635698901594584e-21,0.0
1800.0,0.9802918407319355,0.0197081592680644,4.989069959376671e-19,0.0
1900.0,0.9485389971673748,0.05146100283262529,2.1073229258043033e-17,0.0
2000.0,0.8803746173405724,0.11962538265942704,6.140973859803887e-16,0.0
2100.0,0.7538863964031659,0.2461136035968211,1.3015064146973238e-14,0.0
2200.0,0.5604511348885833,0.43954886511120717,2.0944755128532783e-13,0.0
2300.0,0.33657264779566887,0.6634273522016786,2.6524284903517175e-12,0.0
2400.0,0.158879809358058,0.841120190614714,2.7228019105853055e-11,0.0
2500.0,0.06360035170368304,0.9363996480640229,2.3229399080170877e-10,0.0
2600.0,0.024262584979056586,0.9757374133384473,1.6824961020431445e-09,0.0
2700.0,0.009469415990071131,0.9905305734771255,1.053280356530607e-08,0.0
2800.0,0.003878010121797416,0.9961219319912432,5.7886959395532653e-08,0.0
2900.0,0.001675040946488808,0.9983246760015001,2.830520110541592e-07,0.0
3000.0,0.0007618741684921939,0.9992368802139824,1.2456175252966614e-06,0.0
3100.0,0.00036353209106912903,0.9996314838093676,4.984099563087789e-06,0.0
3200.0,0.00018127765615744566,0.9998004305021102,1.8291841732408602e-05,1.8742041469261548e-28
3300.0,9.410510377657599e-05,0.9998438358266004,6.205906962313615e-05,7.290537008384131e-27
3400.0,5.068439118340622e-05,0.999753362075019,0.00019595353379759452,2.285966018183507e-25
3500.0,2.8235800252533944e-05,0.9993926020219037,0.0005791621778437814,5.881661001832047e-24
3600.0,1.622544092088254e-05,0.998374047515777,0.001609727043302117,1.2607335733543507e-22
3700.0,9.592979268676496e-06,0.9957701894427244,0.004220217578006904,2.2783933119285596e-21
3800.0,5.822286791933981e-06,0.9895552067374609,0.010438970975747246,3.495711565398313e-20
3900.0,3.619252819720916e-06,0.9757338722523071,0.024262508494873256,4.5528990728702e-19
4000.0,2.2971421013301566e-06,0.9475427510850418,0.05245495177285677,4.987616338501709e-18
4100.0,1.4798839943994156e-06,0.8960854894012631,0.10391303071474245,4.524284114666087e-17
4200.0,9.5641983061433e-07,0.8140419680237979,0.18595707555637106,3.35816071716135e-16
4300.0,6.083593054499643e-07,0.7011328063380854,0.29886658530260723,2.0478600892064683e-15
4400.0,3.721225981608888e-07,0.5668016493301042,0.4331979785472873,1.047616702800772e-14
4500.0,2.146432290555928e-07,0.42784889284396077,0.572150892512764,4.623153103359261e-14
4600.0,1.1571931279122711e-07,0.3021088209110788,0.6978910633694276,1.8082410933725898e-13
4700.0,5.8604463394894104e-08,0.2015209975374423,0.7984789438574531,6.414500861137043e-13
4800.0,2.8348068931507806e-08,0.12904181796193778,0.8709581536878918,2.1014839465367247e-12
4900.0,1.3368090824410244e-08,0.08070628100178191,0.9192937056236794,6.447972529703224e-12
5000.0,6.259571443026503e-09,0.05002970596007327,0.9499702877616384,1.8716971331513776e-11
5100.0,2.949133384858199e-09,0.031059478765602357,0.9689405182334931,5.177096944562946e-11
5200.0,1.4092136648433157e-09,0.019432976088867848,0.9805670223647414,1.3717721305508834e-10
5300.0,6.8609735125242e-10,0.012297905531966897,0.9877020934324066,3.495290940770255e-10
5400.0,3.410823256243134e-10,0.007885692007236699,0.9921143067926683,8.590124759164644e-10
5500.0,1.732724639185322e-10,0.005127111388688648,0.9948728863967747,2.0412641185220687e-09
5600.0,8.994660930844676e-11,0.0033804452494678133,0.9966195499606598,4.699925627824337e-09
5700.0,4.7689748452163265e-11,0.0022596549957175555,0.9977403344522009,1.0504391894894949e-08
5800.0,2.5807917148192016e-11,0.001530734323855429,0.9984692428231783,2.2827158334614838e-08
5900.0,1.4243790970388702e-11,0.001050345119496089,0.9989496065624227,4.830383746476284e-08
6000.0,8.010939392283152e-12,0.0007296400294551194,0.9992702602947088,9.966782511294997e-08
6100.0,4.587400058873965e-12,0.0005128576441898279,0.9994869415706484,2.0078057434009698e-07
6200.0,2.6722811081372397e-12,0.0003645415178080772,0.9996350631008123,3.9537870729183737e-07
6300.0,1.5826236025415387e-12,0.0002619274566291284,0.9997373107034213,7.618383670256909e-07
6400.0,9.52101547325877e-13,0.0001901358306214274,0.9998084262350142,1.4379334121548451e-06
6500.0,5.814221559903204e-13,0.0001393780114718286,0.9998579609071653,2.6610807814715037e-06
6600.0,3.6017392008457777e-13,0.00010312911378832277,0.9998920379471824,4.832938669317904e-06
6700.0,2.2618886265400177e-13,7.69918611232039e-05,0.9999143869927959,8.621145854598321e-06
6800.0,1.4391612330138973e-13,5.79714878217497e-05,0.9999269115808957,1.5116931138455935e-05
6900.0,9.272187660321385e-14,4.400772990800205e-05,0.9999299168608964,2.607540910274616e-05
7000.0,6.04586130146631e-14,3.366943220355168e-05,0.9999220541863105,4.427638142543997e-05
7100.0,3.9876652838559375e-14,2.595316564869857e-05,0.999899988670817,7.405816349468394e-05
7200.0,2.6592368427754193e-14,2.0149086018026946e-05,0.9998577546662649,0.00012209624769066033
7300.0,1.7921632794714863e-14,1.5750711625552122e-05,0.9997857258624633,0.0001985234258930791
